REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,CLAIM_NO,PARTNO,PARTDESCRIPTION,TOTAL_AMOUNT,NUM_CLAIM_NO
202006150047462,N000706,23101.0,'23002021783800000001,C230020217838,68001M56R00,"PANEL ASSY, FRONT DOOR, R",3664.06,2.30020217838e+19
202007240057460,N000706,42939.0,'23002031728500000001,C230020317285,71751M85S20-5PK,"BEZEL,FRONT FOG LAMP,R",72.65,2.30020317285e+19
201912210065232,N000706,30557.0,'23002030019900000001,C230020300199,71811M68P00-5PK,"BUMPER, RR (BLACK)",3109.37,2.30020300199e+19
202008080056537,N000706,18913.0,'23002029270900000001,C230020292709,17700M68P00,RADIATOR ASSY,2054.68,2.30020292709e+19
202008080056537,N000706,18913.0,'23002029270900000001,C230020292709,71740M55R00-C48,"GRILLE COMP,RADIATOR UPPER",789.06,2.30020292709e+19
202011280094813,N000706,19224.0,'23002031959000000001,C230020319590,71711M69R00-5PK,"BUMPER,FRONT",1437.5,2.3002031959e+19
202011280094813,N000706,19224.0,'23002031959000000001,C230020319590,68001M69R00,"PANEL ASSY,FRONT DOOR,R",5359.37,2.3002031959e+19
202007290110234,N000706,18913.0,'23002031847800000001,C230020318478,71740M55R00-C48,"GRILLE COMP,RADIATOR UPPER",761.71,2.30020318478e+19
202007290110234,N000706,18913.0,'23002031847800000001,C230020318478,77811M54GC0-0PG,"EMBLEM,MARK(S)(CHROME)",94.53,2.30020318478e+19
202007290071322,N000706,42009.0,'23002024661300000001,C230020246613,17700M62S00,RADIATOR ASSY,1968.75,2.30020246613e+19
202002250099207,N000706,30563.0,'23002034480600000001,C230020344806,84611M68P00,".MOLDING, WINDSHIELD",335.93,2.30020344806e+19
202010110031196,N000706,30560.0,'23002034412100000001,C230020344121,72322M68P00,"LINING,FRONT FENDER,L",273.43,2.30020344121e+19
