REFERENCE_NUM,PRODUCT_INDEX,VEHICLE_MODEL_CODE,CLAIMNO,CLAIM_NO,PARTNO,PARTDESCRIPTION,TOTAL_AMOUNT,NUM_CLAIM_NO
201911050100124,N000706,31270.0,'23002030738600000001,C230020307386,77260M82P00-5PK,"GUARD ASSY,RR FENDER SPLASH,L",335.93,2.30020307386e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,71732M74L00,"HOLDER, FR BUMPER SIDE LH",75.78,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,95781M74L00,"STAY, SUCT HOSE",45.31,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,13881M83P51,"HOSE, AIR CLEANER OUTLET",382.81,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,57711M71P10,PANEL.FRONT FENDER.L,1039.06,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,72372M74L00-5PK,"GARNISH, COWL TOP SIDE LH",25.0,2.30020279796e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,51000M53M60,"CYLINDER ASSY,BRAKE MASTER",3683.59,2.30020157502e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,12341M53M00-0A0,"BEARING,CRANKSHAFT",28.12,2.30020157502e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,33920M50AU1,"CONTROLLER ASSY,EPI-A/C",10546.87,2.30020157502e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,58250M53MB0,"REINF COMP,HOOD CUSHION,R",65.62,2.30020157502e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,71711M53MB0-5PK,"BUMPER,FRONT",953.12,2.30020157502e+19
201911290136063,N000706,25375.0,'23002015750200000001,C230020157502,72383M53MB0-5PK,"GARNISH,FRONT SIDE,R",23.43,2.30020157502e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,11620M55RA0,"MOUNTING COMP, ENG LH",1859.37,2.30020142719e+19
202008130049962,N000706,12801.0,'23002028932300000001,C230020289323,72321M74L10,"LINING, FRONT FENDER RH",386.71,2.30020289323e+19
202008130049962,N000706,12801.0,'23002028932300000001,C230020289323,45202M74L20,"ARM ASSY,FRONT SUSPENSION,L",1789.06,2.30020289323e+19
202008130049962,N000706,12801.0,'23002028932300000001,C230020289323,09409M08006,CLIP,2.34,2.30020289323e+19
202008130049962,N000706,12801.0,'23002028932300000001,C230020289323,71740M84P00-C48,"GRILLE, RADIATOR UPPER",1328.12,2.30020289323e+19
202008130049962,N000706,12801.0,'23002028932300000001,C230020289323,83831M75L00,"WEATHERSTRIP, DOOR OUT RH",160.15,2.30020289323e+19
202002260032852,N000706,22616.0,'23002032847600000001,C230020328476,71711M55R00-5PK,"BUMPER ,FRONT",1640.62,2.30020328476e+19
202003030087267,N000706,31663.0,'23002031498100000001,C230020314981,71734M58R00,"HOLDER, FR BUMPER FR LH",113.28,2.30020314981e+19
202003030087267,N000706,31663.0,'23002031498100000001,C230020314981,71780M58R00-5PK,"EXTENSION COMP, FRONT BUMPER",1222.65,2.30020314981e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,18213M53M40,"SENSOR,OXYGEN RR",1151.56,2.3002029284e+19
202012040132053,N000706,40305.0,'23002033066000000001,C230020330660,71733M72R00,"HOLDER,FR BUMPER FRONT,R",78.12,2.3002033066e+19
202012040132053,N000706,40305.0,'23002033066000000001,C230020330660,72421M73R10,"COVER,ENGINE UNDER SIDE,R",136.71,2.3002033066e+19
202012260027104,N000706,20646.0,'23002032538900000001,C230020325389,17100M69R00,"FAN ASSY,COOLING",2421.87,2.30020325389e+19
202012260027104,N000706,20646.0,'23002032538900000001,C230020325389,71771M69R00-5PK,"GUIDE,GRILLE AIR",558.59,2.30020325389e+19
202012260027104,N000706,20646.0,'23002032538900000001,C230020325389,17852M69R00,"HOSE,RDTR INLET",71.18,2.30020325389e+19
202012260027104,N000706,20646.0,'23002032538900000001,C230020325389,990J0M999H4-030,AC CAN GAS (340 -FLORON),283.89,2.30020325389e+19
202011100110177,N000706,39250.0,'23002032438000000001,C230020324380,68004M79M00,"PANEL ASSY,REAR DOOR,L",7234.37,2.3002032438e+19
202012240055485,N000706,30135.0,'23002032280800000001,C230020322808,77210M64MA0-5PK,"GUARD ASSY,FR FENDER SPLASH,R",285.15,2.30020322808e+19
202012240055485,N000706,30135.0,'23002032280800000001,C230020322808,99000M24120-958,BODY FILLER (3KG LIGHTWEIGHT),1097.45,2.30020322808e+19
202002100026941,N000706,28192.0,'23002034168000000001,C230020341680,99000M24120-290,SEALENT SET,553.38,2.3002034168e+19
202011260139549,N000706,18911.0,'23002034098200000001,C230020340982,77851M54G00-0PG,"EMBLEM, VVT (CHROME)",35.65,2.30020340982e+19
202007290047010,N000706,30135.0,'23002034001900000001,C230020340019,71712M61M00-5PK,"CAP,FRONT BUMPER",21.87,2.30020340019e+19
202007290047010,N000706,30135.0,'23002034001900000001,C230020340019,71732M61M00,"HOLDER,FR BUMPER SIDE,L",47.65,2.30020340019e+19
202007290047010,N000706,30135.0,'23002034001900000001,C230020340019,72390M64M00,"COVER,FR BUMPER LOWER",191.4,2.30020340019e+19
202005160026978,N000706,40505.0,'23002033985900000001,C230020339859,71771M82P00-5PK,"GARNISH,FR BUMPER LOWER",441.4,2.30020339859e+19
202002080083795,N000706,18914.0,'23002030249600000001,C230020302496,71791M82P00-5PK,"BUMPER,FRONT LOWER,R",171.87,2.30020302496e+19
202004120017483,N000706,12802.0,'23002030065300000001,C230020300653,09409M07L01,CLIP,2.34,2.30020300653e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,72322M74L00,"LINING, FRONT FENDER LH",292.96,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,95141M68P00,V-BELT (4PK),254.23,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,99000M24120-551,COOLANT (SG) NON AMINE,228.81,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,11710M74L50,"MOUNTING, ENG RR",804.68,2.30020279796e+19
202008100015552,N000706,12801.0,'23002027979600000001,C230020279796,17874M86J00,"HOSE,HEATER OUTLET NO.2",22.03,2.30020279796e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,35650M56R00,"LAMP,  UNIT RR COMB RH",1915.25,2.30020142719e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,42420M75J02,"JOINT COMP,FR STABILIZER BAR",406.25,2.30020142719e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,82110M55R00,"LATCH COMP, HOOD",234.37,2.30020142719e+19
202001050023753,N000706,23103.0,'23002014271900000001,C230020142719,48110M55R30-HLF,"WHEEL S/ASSY, STEERING",3457.03,2.30020142719e+19
202001160041863,N000706,31663.0,'23002032815100000001,C230020328151,71740M60MA0-C48,"GRILLE, RADIATOR UPPER",2578.9,2.30020328151e+19
202001160041863,N000706,31663.0,'23002032815100000001,C230020328151,35500M75J11,"FRONT FOG LAMP,YN4",923.72,2.30020328151e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,84511M53MB0,"GLASS,WINDSHIELD",4720.33,2.3002029284e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,36602M53M30,"HARNESS ASSY,INSTPN",1927.96,2.3002029284e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,72350M79F01,"BRACKET COMP,STABILIZER,R",179.68,2.3002029284e+19
202010300047262,N000706,25375.0,'23002029284000000001,C230020292840,71741M53MB0-5PK,"NET,FRONT BUMPER",804.68,2.3002029284e+19
